Abfalldreck	Dreck	Schmutz	N
Abfuehrgott	Gott	Experte	Y
Abführgott	Gott	Experte	Y
Abgasdreck	Dreck	Schmutz	N
Abgeordnetenschweine	Schwein	Schimpfwort	Y
Abmahndreck	Dreck	niedrigeQualität	Y
Abrüstungsapostel	Apostel	Befürworter	Y
Abschaffungsapostel	Apostel	Befürworter	Y
Abstiegsdreck	Dreck	niedrigeQualität	Y
Abwaschdreck	Dreck	Schmutz	N
Abwasserdreck	Dreck	Schmutz	N
Abwehrikone	Ikone	Verkörperung	Y
Achsbolzen	Bolzen	Stift	N
Achsschenkelbolzen	Bolzen	Stift	N
Ackerdreck	Dreck	Schmutz	N
Adlerkönig	König	Monarch	N
Admingott	Gott	Experte	Y
Affendreck	Dreck	Kot	N
Affenkönig	König	Monarch	N
Afrikaapostel	Apostel	Religion	N
Afterapostel	Apostel	Religion	N
Ägypterkönig	König	Monarch	N
Aktienguru	Guru	Experte	Y
Alleingott	Gott	Religion	N
Allerheiligenikone	Ikone	Religion	N
Allmachtsgott	Gott	Religion	N
Alltagsdreck	Dreck	Schmutz	N
Alltagsikone	Ikone	Verkörperung	Y
Alpakahengst	Hengst	Tier	N
Alpendreck	Dreck	niedrigeQualität	Y
Alpenikone	Ikone	Verkörperung	Y
Alpenkönig	König	Wichtigkeit	Y
Alptraumikone	Ikone	Verkörperung	Y
Altschneedreck	Dreck	Schmutz	N
Aluminiumbolzen	Bolzen	Stift	N
Ameisenkönig	König	Monarch	N
Ampelgott	Gott	Religion	N
Amtshengst	Hengst	Mann	Y
Anabolikahengst	Hengst	Mann	Y
Anarchapostel	Apostel	Befürworter	Y
Andalusierhengst	Hengst	Tier	N
Angelguru	Guru	Experte	Y
Angriffsapostel	Apostel	Befürworter	Y
Angstbolzen	Bolzen	hohesMaß	N
Angsthasenapostel	Apostel	Befürworter	Y
Anhangsdreck	Dreck	niedrigeQualität	Y
Animierschwein	Schwein	Schimpfwort	Y
Ankerbolzen	Bolzen	Stift	N
Anleihenguru	Guru	Experte	Y
Anpassungsapostel	Apostel	Befürworter	Y
Anschlagbolzen	Bolzen	Stift	N
Anschlussbolzen	Bolzen	Stift	N
Anstandspapst	Papst	Autorität	Y
Antibiotikaschweine	Schwein	Tier	N
anti-gott	Gott	Religion	N
Antiguru	Guru	Experte	Y
Antiimperialistendreck	Dreck	niedrigeQualität	Y
Antimoralapostel	Apostel	Befürworter	Y
Antoniusschweine	Schwein	Tier	N
Anzughengst	Hengst	Mann	Y
Apfelguru	Guru	Experte	Y
Appaloosahengst	Hengst	Tier	N
Aquapapst	Papst	Autorität	Y
Araberhengst	Hengst	Tier	N
Arbeiterapostel	Apostel	Befürworter	Y
Arbeiterpapst	Papst	Autorität	Y
Arbeiterschwein	Schwein	Schimpfwort	Y
Arbeitshengst	Hengst	Mann	Y
Arbeitsikone	Ikone	Verkörperung	Y
Arbeitsmarktguru	Guru	Experte	Y
Architektenikone	Ikone	Verkörperung	Y
Architekturikone	Ikone	Verkörperung	Y
Architekturpapst	Papst	Autorität	Y
Armbrustbolzen	Bolzen	Projektil	N
Asbestpapst	Papst	Autorität	Y
Aschendreck	Dreck	Schmutz	N
Assyrerkönig	König	Monarch	N
Astralgott	Gott	Religion	N
Asylantenschwein	Schwein	Schimpfwort	Y
Atommülldreck	Dreck	Schmutz	N
Atompapst	Papst	Autorität	Y
Aufhängebolzen	Bolzen	Stift	N
Aufklärungsapostel	Apostel	Befürworter	Y
Aufklärungsikone	Ikone	Verkörperung	Y
Aufklärungspapst	Papst	Autorität	Y
Aufruhrgott	Gott	Religion	N
Aufstiegsgott	Gott	Experte	Y
Augendreck	Dreck	Schmutz	N
Augustbolzen	Bolzen	Fehlt	N
Ausbrecherkönig	König	Wichtigkeit	Y
Ausländerdreck	Dreck	niedrigeQualität	Y
Ausländerschweinen	Schwein	Schimpfwort	Y
Ausnahmehengst	Hengst	Tier	N
Ausreißerkönig	König	Wichtigkeit	Y
Ausreißerschwein	Schwein	Tier	N
Außenseiterpapst	Papst	Kirche	N
Auswurfbolzen	Bolzen	Stift	N
Authentizitätsapostel	Apostel	Befürworter	Y
Autogott	Gott	Experte	Y
autoguru	Guru	Experte	Y
Autokönig	König	Wichtigkeit	Y
