Abbau	33218
Abbild	8132
Abend	143528
Abgas	4575
Abitur	21713
Abschluss	127254
Absprache	21194
Abstand	65007
Absturz	9244
Abtastung	356
Abteilung	66342
Abwehr	24341
Abwehrtrupp	1
Abwender	0
Abwurf	1324
Achtung	35911
Adapter	1735
Adaption	2729
Adler	13666
Affäre	10825
After	3618
Agentur	29703
Akrobat	755
Akteur	43868
Aktie	52367
Aktion	150916
Aktivität	110325
Aktivurlaub	306
Akzent	15099
Alarm	7336
Albtraum	12350
Album	36718
Altar	16576
Alter	207203
Alternative	102165
Altstadt	19485
Ambiente	9590
Amerikaner	56647
Ampel	7680
Analyst	10967
Analytik	2583
Anbau	17744
Anblick	17666
Andonsystem	0
Angabe	186023
Angelegenheit	69983
Angestellte	51541
Angriff	99313
Angst	203129
Anhänger	42737
Anlage	176919
Ansatz	116536
Anschauer	2
Anschluss	69294
Anstrengung	40298
Anteil	148326
Anwesen	6654
Apostel	21299
Aquarium	14173
Arbeit	763991
Arbeiterin	5119
Arbeitgeber	120896
Arbeitgeberverband	7450
Arbeitsgruppe	45824
Arbeitsplatz	133988
Architektur	40646
Arena	13277
Ärger	23096
Argument	78841
Arm	108290
Armatur	1465
Armee	73663
Arsch	6507
Arschloch	2944
Arsenal	5882
Art	625386
Ast	11710
Athletin	1183
Atomwissenschaftler	190
Attacke	12898
Attentat	15283
Attentäter	6118
Attrappe	684
Audit	1070
Auditierung	150
Aufenthalt	50591
Auffassung	114032
Aufgabe	393907
Auflage	66485
Aufnahme	104669
Aufriss	395
Aufstand	23187
Aufstieg	27904
Auftakt	16628
Auftritt	40653
Aufwand	46828
Aufzeichnung	20006
Auge	298822
August	202370
Ausbildung	180393
Ausbruch	19212
Ausgabe	149932
Ausgang	25722
Ausklang	1844
Auslegung	39980
Ausleihe	3253
Auslese	5134
Auslotung	216
Ausrüstung	18119
Aussage	150942
Ausstellung	118537
Auswahl	93869
Auswertung	37672
Automat	7919
Autor	274220
Autorin	54781
Babe	613
Baby	40668
Baisse	438
Ballerina	324
Bammel	372
Band	196327
Bändel	350
Bär	18314
Bariton	1416
Baron	6531
Bastelei	203
Bauchladentheater	0
Bauchspeicheldrüse	3348
bauen	154443
Bauer	77893
Baum	91537
Baustein	18316
Bauweise	5598
