German Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
Aal;0;0;0;0;0;1;0;0;0;0
Aasfresser;0;1;0;0;0;0;0;0;0;0
Abakus;0;0;0;0;0;0;0;0;0;1
abba;1;0;0;0;0;0;0;0;0;0
abbauen;0;1;0;0;0;0;0;0;0;0
Abbaustoffwechsel;0;0;0;0;0;0;0;0;0;0
abbilden;0;0;0;0;0;0;0;0;0;0
Abbildung;0;0;0;0;0;0;0;0;0;0
Abbildung;0;0;0;0;0;0;0;0;0;0
abbrechen;0;1;0;0;0;0;0;0;0;0
Abdeckung;0;0;0;0;0;0;0;0;0;1
Abdeckung;0;0;0;0;0;0;0;0;0;0
abdichten;0;0;0;0;0;0;0;0;0;0
abdominal;0;0;0;0;0;0;0;0;0;0
Abend;0;0;0;0;0;0;0;0;0;0
Abenddämmerung;0;0;0;0;0;0;0;0;0;0
Abendessen;1;0;0;0;0;0;0;0;0;0
Abendessen;0;0;0;0;0;0;0;0;0;0
Abenteuer;1;0;0;1;0;0;0;0;0;0
abenteuerlich;1;0;0;0;0;0;0;0;0;0
Abenteurer;0;0;0;0;0;0;0;0;0;0
aberrant;0;1;0;0;0;0;0;0;0;0
Aberration;0;1;0;0;1;0;0;0;0;0
Abfackeln;0;0;0;0;0;0;0;0;0;0
abfahren;0;0;0;1;0;0;0;1;0;0
Abfahrt;0;1;0;0;0;0;0;1;0;0
Abfall;0;1;0;0;0;1;0;0;0;0
Abfall;0;1;0;0;1;0;0;0;0;0
abfällig;0;1;1;0;1;1;0;1;0;0
abfangen;0;0;0;0;0;0;0;0;0;0
Abfangen;0;0;0;0;0;0;0;0;0;0
Abfertigung;1;0;0;0;0;0;0;0;0;1
Abfrage;0;0;0;0;0;0;0;0;0;0
Abführmittel;1;0;0;0;0;0;0;0;0;0
Abführmittel;0;1;0;0;1;1;0;0;0;0
Abgaben;0;1;0;0;0;0;0;0;0;0
Abgang;0;0;0;0;0;0;0;0;0;0
abgeben;0;0;0;0;0;0;0;0;0;0
abgedunkelten;0;1;0;0;0;1;0;1;0;0
abgeholt;0;0;0;0;0;0;0;0;0;0
abgelaufen;0;1;0;0;0;0;0;0;0;0
abgelegenen;0;0;0;0;0;0;0;0;0;0
Abgelegenheit;0;0;0;0;0;0;0;0;0;0
abgelehnt;0;1;0;0;0;0;0;0;0;0
abgemagert;0;1;0;0;0;1;0;1;0;0
abgeneigt;0;1;1;0;1;1;0;0;0;0
abgeneigt;0;1;1;0;0;0;0;0;0;0
abgenutzt;0;1;0;0;0;0;0;1;0;0
abgereist;0;1;0;0;0;0;0;1;0;0
abgerundet;0;0;0;0;0;0;0;0;0;0
Abgeschiedenheit;1;1;0;0;0;1;0;0;0;0
abgeschrieben;0;1;1;0;1;1;0;1;0;0
abgestanden;0;1;0;0;0;0;0;0;0;0
Abgrenzung;0;0;0;0;0;0;0;0;0;0
Abgrund;0;1;0;0;0;1;0;1;0;0
Abgrund;0;0;0;0;0;1;0;0;0;0
abhängen;0;0;0;1;0;0;0;0;0;1
abhängen;0;0;0;0;0;0;0;0;0;0
abhängig;0;0;0;0;0;0;0;0;0;0
abhängig;1;1;0;0;0;0;0;0;0;1
Abhängigkeit;0;1;0;0;0;1;0;1;0;0
Abhängigkeit;0;1;0;0;0;0;0;0;0;0
abheben;0;1;0;0;0;0;0;1;0;0
Abhilfe;0;1;0;0;0;0;0;0;0;0
Abhilfe;1;0;0;1;0;0;1;0;0;1
abkürzen;0;0;0;0;0;0;0;0;0;0
Abkürzung;0;0;0;0;0;0;0;0;0;0
abladen;0;0;0;0;0;0;0;0;0;0
Ablagerung;0;0;0;0;0;0;0;0;0;0
ablassen;0;1;1;0;1;0;0;0;0;0
ablassen;0;0;0;0;0;0;0;0;0;0
Ablation;0;0;0;0;0;0;0;0;0;0
Ablauf;0;0;0;0;0;0;0;0;0;0
Ablauf;0;0;0;0;0;0;0;0;0;0
Ablauf;0;1;0;0;0;0;0;0;0;0
Ableben;0;1;0;0;0;1;0;1;0;0
Ableger;1;0;0;0;0;0;0;0;0;0
ablehnen;0;0;0;0;0;0;0;0;0;0
ablehnen;0;1;0;0;0;0;0;0;0;0
ablehnen;0;1;1;0;0;1;0;1;0;0
ableiten;0;0;0;0;0;0;0;0;0;0
ableiten;0;0;0;0;0;0;0;0;0;0
Ableitung;0;0;0;0;0;0;0;0;0;0
ablenken;0;0;0;0;0;0;0;0;0;0
